,occupation,onet_included,onet_bls_name,AREA,AREA_TITLE,AREA_TYPE,PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,PCT_RPT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
0,Sales Managers,1.0,Sales Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-2022,Sales Managers,detailed,453800.0,1.2,,,,,68.46,142390,0.4,29.37,40.6,61.3,83.18,#,61090,84450,127490,173010,#,,
1,Administrative Services Managers,1.0,Administrative Services Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3012,Administrative Services Managers,detailed,224620.0,0.7,,,,,54.34,113030,0.4,28.59,37.05,48.16,63.05,81.21,59470,77070,100170,131130,168910,,
2,Industrial Production Managers,1.0,Industrial Production Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3051,Industrial Production Managers,detailed,192270.0,0.6,,,,,56.62,117780,0.3,30.84,38.55,49.59,64.49,81.96,64150,80190,103150,134130,170470,,
3,Geothermal Production Managers,1.0,Industrial Production Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3051,Industrial Production Managers,detailed,192270.0,0.6,,,,,56.62,117780,0.3,30.84,38.55,49.59,64.49,81.96,64150,80190,103150,134130,170470,,
4,Biofuels Production Managers,1.0,Industrial Production Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3051,Industrial Production Managers,detailed,192270.0,0.6,,,,,56.62,117780,0.3,30.84,38.55,49.59,64.49,81.96,64150,80190,103150,134130,170470,,
5,Biomass Power Plant Managers,1.0,Industrial Production Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3051,Industrial Production Managers,detailed,192270.0,0.6,,,,,56.62,117780,0.3,30.84,38.55,49.59,64.49,81.96,64150,80190,103150,134130,170470,,
6,Hydroelectric Production Managers,1.0,Industrial Production Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-3051,Industrial Production Managers,detailed,192270.0,0.6,,,,,56.62,117780,0.3,30.84,38.55,49.59,64.49,81.96,64150,80190,103150,134130,170470,,
7,Medical and Health Services Managers,1.0,Medical and Health Services Managers,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,11-9111,Medical and Health Services Managers,detailed,436770.0,0.5,,,,,57.61,119840,0.3,29.22,37.38,48.72,65.26,98.86,60780,77750,101340,135750,205620,,
8,"Wholesale and Retail Buyers, Except Farm Products",1.0,Buyers and Purchasing Agents,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1020,Buyers and Purchasing Agents,detailed,439020.0,0.6,,,,,34.88,72540,0.3,18.48,23.63,30.51,42.22,53.46,38430,49150,63470,87820,111200,,
9,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.0,Buyers and Purchasing Agents,99.0,U.S.,1.0,US,0.0,Cross-industry,cross-industry,1235.0,13-1020,Buyers and Purchasing Agents,detailed,439020.0,0.6,,,,,34.88,72540,0.3,18.48,23.63,30.51,42.22,53.46,38430,49150,63470,87820,111200,,
