occupation,pct_emp_change_2020_2030
"Total, all occupations",7.7
Management occupations,9.3
Top executives,7.7
Chief executives,-5.7
General and operations managers,9.4
Legislators,7.6
"Advertising, marketing, promotions, public relations, and sales managers",8.8
Advertising and promotions managers,10.3
Marketing and sales managers,8.3
Marketing managers,10.0
Sales managers,7.0
Public relations and fundraising managers,12.6
Operations specialties managers,11.6
Administrative services and facilities managers,8.9
Computer and information systems managers,10.9
Financial managers,17.3
Industrial production managers,5.3
Purchasing managers,6.1
"Transportation, storage, and distribution managers",8.3
Compensation and benefits managers,4.0
Human resources managers,9.2
Training and development managers,10.7
Other management occupations,9.2
"Farmers, ranchers, and other agricultural managers",-0.7
Construction managers,11.5
Education and childcare administrators,8.5
"Education and childcare administrators, preschool and daycare",11.4
"Education administrators, kindergarten through secondary",7.8
"Education administrators, postsecondary",7.5
"Education administrators, all other",12.6
Architectural and engineering managers,4.1
Food service managers,14.9
Gambling managers,20.1
Lodging managers,8.7
Medical and health services managers,32.5
Natural sciences managers,5.8
Postmasters and mail superintendents,-7.7
"Property, real estate, and community association managers",3.1
Social and community service managers,15.2
Emergency management directors,6.2
Funeral home managers,3.2
"Personal service managers, all other; entertainment and recreation managers, except gambling; and managers, all other",7.4
Business and financial operations occupations,8.0
Business operations specialists,9.3
"Agents and business managers of artists, performers, and athletes",46.3
Buyers and purchasing agents,-5.4
"Claims adjusters, appraisers, examiners, and investigators",-2.6
"Claims adjusters, examiners, and investigators",-2.7
"Insurance appraisers, auto damage",0.6
Compliance officers,6.2
Cost estimators,0.6
Human resources workers,9.0
Human resources specialists,10.4
Farm labor contractors,10.6
Labor relations specialists,-4.3
Logisticians,29.5
Management analysts,13.7
"Meeting, convention, and event planners",17.5
Fundraisers,15.9
"Compensation, benefits, and job analysis specialists",9.6
Training and development specialists,10.8
Market research analysts and marketing specialists,22.1
"Project management specialists and business operations specialists, all other",5.6
Financial specialists,5.2
Accountants and auditors,6.9
Property appraisers and assessors,4.4
Budget analysts,4.8
Credit analysts,-5.8
Personal financial advisors,4.6
Insurance underwriters,-1.8
Financial examiners,17.9
Credit counselors and loan officers,2.1
Credit counselors,9.0
Loan officers,1.3
"Tax examiners, collectors and preparers, and revenue agents",-0.5
"Tax examiners and collectors, and revenue agents",-3.7
Tax preparers,1.6
"Financial and investment analysts, financial risk specialists, and financial specialists, all other",6.4
Computer and mathematical occupations,14.1
Computer occupations,13.4
Computer and information analysts,12.0
Computer systems analysts,7.0
Information security analysts,33.3
Computer and information research scientists,21.9
Computer support specialists,8.6
Computer network support specialists,7.5
Computer user support specialists,8.9
Database and network administrators and architects,6.0
Computer network architects,5.5
Network and computer systems administrators,5.4
Database administrators and architects,7.8
"Software and web developers, programmers, and testers",18.7
Computer programmers,-9.9
Software developers and software quality assurance analysts and testers,22.2
Web developers and digital interface designers,12.8
"Computer occupations, all other",9.2
Mathematical science occupations,28.0
Actuaries,24.5
Mathematicians,2.7
Operations research analysts,24.6
Statisticians,35.4
"Data scientists and mathematical science occupations, all other",31.4
Architecture and engineering occupations,5.6
"Architects, surveyors, and cartographers",2.6
"Architects, except naval",2.6
"Architects, except landscape and naval",3.1
Landscape architects,-0.3
"Surveyors, cartographers, and photogrammetrists",2.5
Cartographers and photogrammetrists,5.4
Surveyors,1.6
Engineers,7.4
Aerospace engineers,8.3
Agricultural engineers,4.5
Bioengineers and biomedical engineers,5.9
Chemical engineers,9.3
Civil engineers,8.2
Computer hardware engineers,1.5
Electrical and electronics engineers,6.5
Electrical engineers,6.8
"Electronics engineers, except computer",6.2
Environmental engineers,3.7
"Industrial engineers, including health and safety",13.1
"Health and safety engineers, except mining safety engineers and inspectors",6.1
Industrial engineers,13.7
Marine engineers and naval architects,3.9
Materials engineers,8.4
Mechanical engineers,7.0
"Mining and geological engineers, including mining safety engineers",3.9
Nuclear engineers,-8.4
Petroleum engineers,7.6
"Engineers, all other",2.7
"Drafters, engineering technicians, and mapping technicians",1.9
Drafters,-1.9
Architectural and civil drafters,-0.9
Electrical and electronics drafters,2.3
Mechanical drafters,-4.7
"Drafters, all other",-5.4
"Engineering technologists and technicians, except drafters",3.1
Aerospace engineering and operations technologists and technicians,8.9
Civil engineering technologists and technicians,1.8
Electrical and electronic engineering technologists and technicians,1.6
Electro-mechanical and mechatronics technologists and technicians,-1.7
Environmental engineering technologists and technicians,7.8
Industrial engineering technologists and technicians,4.4
Mechanical engineering technologists and technicians,5.7
Surveying and mapping technicians,3.7
"Calibration technologists and technicians and engineering technologists and technicians, except drafters, all other",4.4
"Life, physical, and social science occupations",7.9
Life scientists,10.7
Agricultural and food scientists,8.7
Animal scientists,9.7
Food scientists and technologists,6.7
Soil and plant scientists,10.0
Biological scientists,4.4
Biochemists and biophysicists,4.7
Microbiologists,4.6
Zoologists and wildlife biologists,5.2
"Biological scientists, all other",3.7
Conservation scientists and foresters,7.5
Conservation scientists,6.1
Foresters,10.0
Medical scientists,17.6
Epidemiologists,29.6
"Medical scientists, except epidemiologists",16.9
"Life scientists, all other",8.4
Physical scientists,6.9
Astronomers and physicists,8.3
Astronomers,4.5
Physicists,8.8
Atmospheric and space scientists,8.3
Chemists and materials scientists,6.5
Chemists,6.7
Materials scientists,3.9
Environmental scientists and geoscientists,7.9
"Environmental scientists and specialists, including health",8.4
"Geoscientists, except hydrologists and geographers",7.0
Hydrologists,5.6
"Physical scientists, all other",1.0
Social scientists and related workers,7.0
Economists,13.1
Survey researchers,4.3
Psychologists,7.6
"Clinical, counseling, and school psychologists",10.4
Industrial-organizational psychologists,2.2
"Psychologists, all other",2.0
Sociologists,4.8
Urban and regional planners,6.8
Miscellaneous social scientists and related workers,4.3
Anthropologists and archeologists,7.4
Geographers,1.1
Historians,5.5
Political scientists,8.6
"Social scientists and related workers, all other",2.9
"Life, physical, and social science technicians",7.0
Agricultural and food science technicians,7.9
Biological technicians,6.7
Chemical technicians,5.0
Environmental science and geoscience technicians,9.9
"Environmental science and protection technicians, including health",10.6
Geological and hydrologic technicians,8.7
Nuclear technicians,-12.4
Social science research assistants,8.4
Forest and conservation technicians,0.7
"Miscellaneous life, physical, and social science technicians",9.7
Forensic science technicians,15.6
"Life, physical, and social science technicians, all other",8.3
Occupational health and safety specialists and technicians,7.4
Occupational health and safety specialists,7.0
Occupational health and safety technicians,9.0
Community and social service occupations,12.4
"Counselors, social workers, and other community and social service specialists",14.4
Counselors,15.8
"Educational, guidance, and career counselors and advisors",11.5
Marriage and family therapists,16.4
Rehabilitation counselors,10.4
"Substance abuse, behavioral disorder, and mental health counselors",22.9
"Counselors, all other",8.9
Social workers,12.5
"Child, family, and school social workers",12.6
Healthcare social workers,13.2
Mental health and substance abuse social workers,14.9
"Social workers, all other",5.8
Miscellaneous community and social service specialists,14.6
Health education specialists,12.4
Probation officers and correctional treatment specialists,3.8
Social and human service assistants,16.6
Community health workers,21.0
"Community and social service specialists, all other",13.3
Religious workers,2.3
Clergy,2.5
"Directors, religious activities and education",2.2
"Religious workers, all other",2.0
Legal occupations,8.8
"Lawyers, judges, and related workers",8.5
Lawyers and judicial law clerks,8.8
Lawyers,8.9
Judicial law clerks,3.9
"Judges, magistrates, and other judicial workers",3.5
"Administrative law judges, adjudicators, and hearing officers",0.8
"Arbitrators, mediators, and conciliators",9.7
"Judges, magistrate judges, and magistrates",3.4
Legal support workers,9.3
Paralegals and legal assistants,12.0
Miscellaneous legal support workers,1.2
"Title examiners, abstractors, and searchers",1.7
"Legal support workers, all other",0.5
Educational instruction and library occupations,10.1
Postsecondary teachers,10.7
"Business teachers, postsecondary",6.5
"Math and computer science teachers, postsecondary",6.2
"Computer science teachers, postsecondary",6.9
"Mathematical science teachers, postsecondary",5.6
"Engineering and architecture teachers, postsecondary",11.9
"Architecture teachers, postsecondary",8.3
"Engineering teachers, postsecondary",12.5
"Life sciences teachers, postsecondary",11.5
"Agricultural sciences teachers, postsecondary",5.0
"Biological science teachers, postsecondary",12.8
"Forestry and conservation science teachers, postsecondary",5.5
"Physical sciences teachers, postsecondary",7.5
"Atmospheric, earth, marine, and space sciences teachers, postsecondary",6.4
"Chemistry teachers, postsecondary",7.9
"Environmental science teachers, postsecondary",6.8
"Physics teachers, postsecondary",8.1
"Social sciences teachers, postsecondary",8.4
"Anthropology and archeology teachers, postsecondary",8.1
"Area, ethnic, and cultural studies teachers, postsecondary",8.8
"Economics teachers, postsecondary",9.0
"Geography teachers, postsecondary",6.3
"Political science teachers, postsecondary",8.7
"Psychology teachers, postsecondary",10.3
"Sociology teachers, postsecondary",7.6
"Social sciences teachers, postsecondary, all other",4.3
"Health teachers, postsecondary",23.8
"Health specialties teachers, postsecondary",24.3
"Nursing instructors and teachers, postsecondary",22.4
"Education and library science teachers, postsecondary",8.1
"Education teachers, postsecondary",8.3
"Library science teachers, postsecondary",5.9
"Law, criminal justice, and social work teachers, postsecondary",10.2
"Criminal justice and law enforcement teachers, postsecondary",11.1
"Law teachers, postsecondary",10.6
"Social work teachers, postsecondary",8.9
"Arts, communications, history, and humanities teachers, postsecondary",8.7
"Art, drama, and music teachers, postsecondary",10.1
"Communications teachers, postsecondary",7.3
"English language and literature teachers, postsecondary",6.2
"Foreign language and literature teachers, postsecondary",9.4
"History teachers, postsecondary",7.9
"Philosophy and religion teachers, postsecondary",11.0
Miscellaneous postsecondary teachers,5.1
"Family and consumer sciences teachers, postsecondary",5.8
"Recreation and fitness studies teachers, postsecondary",6.8
"Career/technical education teachers, postsecondary",3.4
"Postsecondary teachers, all other",5.9
"Preschool, elementary, middle, secondary, and special education teachers",8.9
Preschool and kindergarten teachers,16.3
"Preschool teachers, except special education",18.4
"Kindergarten teachers, except special education",8.1
Elementary and middle school teachers,7.4
"Elementary school teachers, except special education",7.4
"Middle school teachers, except special and career/technical education",7.5
"Career/technical education teachers, middle school",7.4
Secondary school teachers,7.8
"Secondary school teachers, except special and career/technical education",7.8
"Career/technical education teachers, secondary school",7.1
Special education teachers,8.1
"Special education teachers, preschool",12.1
"Special education teachers, kindergarten and elementary school",7.8
"Special education teachers, middle school",7.5
"Special education teachers, secondary school",7.7
"Special education teachers, all other",10.5
Other teachers and instructors,15.7
"Adult basic education, adult secondary education, and English as a Second Language instructors",-5.0
Self-enrichment teachers,23.5
"Substitute teachers, short-term",12.6
"Tutors and teachers and instructors, all other",15.6
"Librarians, curators, and archivists",7.3
"Archivists, curators, and museum technicians",18.8
Archivists,10.9
Curators,21.6
Museum technicians and conservators,20.6
Librarians and media collections specialists,9.1
Library technicians,0.2
Other educational instruction and library occupations,8.6
Farm and home management educators,-1.2
Instructional coordinators,9.7
Teaching assistants,8.6
"Teaching assistants, postsecondary",6.4
"Teaching assistants, except postsecondary",8.9
"Educational instruction and library workers, all other",8.0
"Arts, design, entertainment, sports, and media occupations",13.1
Art and design workers,4.4
Artists and related workers,13.2
Art directors,11.0
Craft artists,13.2
"Fine artists, including painters, sculptors, and illustrators",17.3
Special effects artists and animators,15.8
"Artists and related workers, all other",9.5
Designers,1.5
Commercial and industrial designers,5.6
Fashion designers,0.5
Floral designers,-20.1
Graphic designers,2.9
Interior designers,-0.2
Merchandise displayers and window trimmers,4.4
Set and exhibit designers,9.1
"Designers, all other",0.1
"Entertainers and performers, sports and related workers",22.2
"Actors, producers, and directors",26.5
Actors,32.4
Producers and directors,24.1
"Athletes, coaches, umpires, and related workers",26.6
Athletes and sports competitors,38.0
Coaches and scouts,25.6
"Umpires, referees, and other sports officials",29.4
Dancers and choreographers,30.7
Dancers,30.0
Choreographers,32.1
"Musicians, singers, and related workers",10.0
Music directors and composers,6.3
Musicians and singers,11.1
"Miscellaneous entertainers and performers, sports and related workers",33.8
Media and communication workers,11.0
Broadcast announcers and radio disc jockeys,10.3
"News analysts, reporters, and journalists",6.0
Public relations specialists,11.4
Writers and editors,7.8
Editors,5.1
Technical writers,11.6
Writers and authors,8.5
Miscellaneous media and communication workers,19.9
Interpreters and translators,23.7
Court reporters and simultaneous captioners,2.5
"Media and communication workers, all other",22.9
Media and communication equipment workers,21.0
Audio and video technicians,26.2
Broadcast technicians,11.2
Sound engineering technicians,17.4
Photographers,17.1
"Television, video, and film camera operators and editors",28.8
"Camera operators, television, video, and film",24.1
Film and video editors,33.2
"Lighting technicians and media and communication equipment workers, all other",16.2
Healthcare practitioners and technical occupations,10.8
Healthcare diagnosing or treating practitioners,11.5
Chiropractors,10.8
Dentists,8.0
"Dentists, general",8.1
Oral and maxillofacial surgeons,7.7
Orthodontists,8.1
Prosthodontists,8.5
"Dentists, all other specialists",5.0
Dietitians and nutritionists,10.7
Optometrists,9.0
Pharmacists,-2.2
Physician assistants,31.0
Podiatrists,1.8
Therapists,21.2
Occupational therapists,17.5
Physical therapists,20.5
Radiation therapists,9.1
Recreational therapists,10.4
Respiratory therapists,23.0
Speech-language pathologists,28.7
Exercise physiologists,13.1
"Therapists, all other",14.8
Veterinarians,16.8
Registered nurses,9.0
Nurse anesthetists,12.6
Nurse midwives,11.3
Nurse practitioners,52.2
Audiologists,15.7
Anesthesiologists,-0.5
Family medicine physicians,4.9
General internal medicine physicians,-0.7
Obstetricians and gynecologists,-2.1
"Pediatricians, general",-1.8
Psychiatrists,12.5
"Physicians, all other; and ophthalmologists, except pediatric",4.5
"Surgeons, except ophthalmologists",-2.8
Miscellaneous healthcare diagnosing or treating practitioners,9.8
Dental hygienists,11.2
